code,name
NG-AB,Abia
NG-AD,Adamawa
NG-AK,Akwa Ibom
NG-AN,Anambra
NG-BC,Bauchi
NG-BA,Bayelsa
NG-BE,Benue
NG-BO,Borno
NG-CR,Cross River
NG-DE,Delta
NG-EB,Ebonyi
NG-ED,Edo
NG-EK,Ekiti
NG-EN,Enugu
NG-FC,FCT
NG-GO,Gombe
NG-IM,Imo
NG-JI,Jigawa
NG-KD,Kaduna
NG-KA,Kano
NG-KT,Katsina
NG-KE,Kebbi
NG-KO,Kogi
NG-KW,Kwara
NG-LG,Lagos
NG-NA,Nasarawa
NG-NI,Niger
NG-OG,Ogun
NG-ON,Ondo
NG-OS,Osun
NG-OY,Oyo
NG-PL,Plateau
NG-RI,Rivers
NG-SO,Sokoto
NG-TA,Taraba
NG-YO,Yobe
NG-ZA,Zamfara
